"user_id","friend_user_id"
"us41913","us41501"
"us38962","us13682"
"us38962","us41718"
"us41052","us39512"
"us41052","us17806"
"us38962","us43032"
"us38962","us1554"
"us43265","us25846"
"us43265","us24773"
"us43399","us13682"
"us43399","us44211"
"us42885","us40652"
"us25914","us17094"
"us25914","us46229"
"us26686","us31862"
"us25914","us41248"
"us25914","us2673"
"us33644","us8134"
"us33644","us25846"
"us33644","us32498"
"us37784","us47253"
"us37439","us29732"
"us38962","us45470"
"us38962","us25846"
"us38962","us231"
"us38962","us46229"
"us43399","us35923"
"us41098","us40351"
"us38962","us46216"
"us38962","us47000"
"us38962","us32498"
"us38962","us47673"
"us38962","us47837"
"us43399","us25846"
"us43399","us1554"
"us42809","us29125"
"us43399","us231"
"us32757","us32763"
"us36126","us46184"
"us36126","us39189"
"us36126","us38962"
"us36126","us110"
"us36126","us49032"
"us36126","us28732"
"us38962","us48344"
"us38962","us36126"
"us38962","us17806"
"us41052","us48759"
"us38962","us47299"
"us45183","us49984"
"us45183","us47299"
"us45183","us50492"
"us45351","us42661"
"us45470","us38962"
"us46229","us38962"
"us46229","us110"
"us46452","us25846"
"us46229","us12126"
"us46229","us25914"
"us46184","us36126"
"us46184","us23252"
"us47845","us48344"
"us46184","us17806"
"us47845","us48475"
"us46615","us45620"
"us48562","us48299"
"us48299","us48562"
"us48299","us48981"
"us48299","us48724"
"us46184","us24773"
"us49032","us36126"
"us51239","us51237"
"us13682","us51827"
"us13682","us666"
"us17806","us46216"
"us17806","us48659"
"us17806","us53446"
"us17806","us666"
"us17806","us53281"
"us17806","us54912"
"us13682","us55505"
"us13682","us43911"
"us13682","us47774"
"us13682","us48344"
"us13682","us44854"
"us13682","us40610"
"us13682","us57964"
"us13682","us48659"
"us13682","us57743"
"us17806","us55742"
"us17806","us57227"
"us13682","us58723"
"us13682","us58811"
"us1554","us43911"
"us13682","us60112"
"us13682","us58771"
"us17806","us44854"
"us17806","us55887"
"us13682","us53718"
"us13682","us57251"
"us17806","us58311"
"us17806","us57251"
"us17806","us63028"
"us17806","us62878"
"us17806","us63106"
"us13682","us53709"
"us139","us17806"
"us139","us63906"
"us17806","us47744"
"us17806","us63906"
"us17806","us67237"
"us17806","us139"
