user_id,degs,deg_adj,ego,CC,CC_adj,ego_out,ego_adj
us519598,11,35.5454545455,6,0.109090909091,0.239071863672,379,304
us598873,8,96.375,6,0.214285714286,0.102764655764,759,629
us688367,2,88.0,1,1.0,0.540097003521,174,173
us556397,7,23.1428571429,7,0.333333333333,0.362365874329,148,132
us205736,1,2.0,0,0.0,0.0,2,2
us451485,2,3.5,0,0.0,0.133333333333,7,6
us451695,1,132.0,0,0.0,0.0791117279667,132,132
us225945,1,2.0,0,0.0,0.0,2,2
us733755,2,194.0,0,0.0,0.0225956396545,388,384
us58261,6,73.1666666667,5,0.333333333333,0.390872859592,429,400
us325934,1,2.0,0,0.0,0.0,2,2
us565756,2,2.0,0,0.0,0.0,4,3
us588270,11,98.5454545455,8,0.145454545455,0.124659422119,1068,788
us376018,3,386.333333333,2,0.666666666667,0.181185950153,1155,1100
us102359,2,2.5,0,0.0,0.25,5,4
us235355,1,2.0,0,0.0,0.0,2,2
us319901,1,26.0,0,0.0,0.00923076923077,26,26
us590785,4,5.0,0,0.0,0.134615384615,20,17
us248979,1,99.0,0,0.0,0.0750360750361,99,99
us299092,4,87.5,3,0.5,0.0941339270813,344,304
us38539,1,96.0,0,0.0,0.0760964912281,96,96
us619682,1,5.0,0,0.0,0.2,5,5
us136528,3,55.0,0,0.0,0.165556203627,165,155
us526138,1,7.0,0,0.0,0.333333333333,7,7
us399073,1,68.0,0,0.0,0.0926251097454,68,68
us109945,1,2.0,0,0.0,0.0,2,2
us640387,3,3.66666666667,2,0.666666666667,0.488888888889,7,5
us517731,1,1.0,0,0.0,0.0,1,1
us720748,2,151.0,1,1.0,0.0965483791571,300,273
us60340,1,3.0,0,0.0,0.0,3,3
us51127,22,51.1363636364,49,0.212121212121,0.26188022728,1027,658
us36208,1,4.0,0,0.0,0.0,4,4
us140749,16,72.6875,31,0.258333333333,0.127902943434,1101,657
us768522,1,5.0,0,0.0,0.0,5,5
us189527,1,33.0,0,0.0,0.0587121212121,33,33
us234141,57,90.4035087719,249,0.156015037594,0.136402715404,4655,2311
us475328,3,183.0,2,0.666666666667,0.126627100777,545,491
us375636,1,2.0,0,0.0,0.0,2,2
us518052,1,102.0,0,0.0,0.0716365754222,102,102
us784380,1,3.0,0,0.0,0.0,3,3
us396945,4,27.0,1,0.166666666667,0.144174339834,106,89
us670045,2,2.0,0,0.0,0.0,4,3
us505493,3,368.333333333,3,1.0,0.186468606856,1099,925
us267727,1,1.0,0,0.0,0.0,1,1
us738775,8,135.125,9,0.321428571429,0.166681834737,1063,838
us540747,7,34.7142857143,0,0.0,0.0282290224608,243,223
us512927,16,66.125,7,0.0583333333333,0.0824432273163,1044,850
us355852,128,81.21875,862,0.106053149606,0.178461454748,8672,3617
us755638,2,4.5,0,0.0,0.047619047619,9,8
us286196,25,73.52,49,0.163333333333,0.194312409347,1740,1100
us587504,1,1.0,0,0.0,0.0,1,1
us530068,1,34.0,0,0.0,0.0588235294118,34,34
us428208,1,23.0,0,0.0,0.201581027668,23,23
us766502,1,1.0,0,0.0,0.0,1,1
us57772,6,94.0,3,0.2,0.0599185690581,558,482
us639707,1,33.0,0,0.0,0.145833333333,33,33
us206331,1,4.0,0,0.0,0.0,4,4
us269777,1,2.0,0,0.0,0.0,2,2
us128530,33,53.9393939394,31,0.0587121212121,0.0809414739915,1718,1130
us423986,1,635.0,0,0.0,0.025504856057,635,635
us608041,1,16.0,0,0.0,0.116666666667,16,16
us209447,1,1.0,0,0.0,0.0,1,1
us456779,1,7.0,0,0.0,0.142857142857,7,7
us321814,1,108.0,0,0.0,0.086188992731,108,108
us414052,1,132.0,0,0.0,0.0791117279667,132,132
us679718,1,1.0,0,0.0,0.0,1,1
us774847,1,59.0,0,0.0,0.073056691993,59,59
us412422,2,225.5,0,0.0,0.019221315998,451,449
us192608,1,18.0,0,0.0,0.104575163399,18,18
us61534,1,1.0,0,0.0,0.0,1,1
us580903,8,41.375,1,0.0357142857143,0.0916534436654,329,278
us232477,1,2.0,0,0.0,0.0,2,2
us284733,3,72.3333333333,1,0.333333333333,0.167084650624,215,205
us171272,2,7.5,0,0.0,0.0972222222222,15,14
us376853,2,816.5,1,1.0,0.0190569126246,1631,1433
us563809,5,43.2,1,0.1,0.0472936072131,214,204
us401054,6,97.3333333333,3,0.2,0.0503016445338,578,521
us177658,6,68.3333333333,3,0.2,0.0636342040392,404,355
us480681,4,63.25,3,0.5,0.139518553514,247,200
us555180,3,49.0,1,0.333333333333,0.223528639677,145,124
us58855,2,78.5,1,1.0,0.0798708162067,155,147
us762054,2,14.5,1,1.0,0.0461988304094,27,26
us385678,8,32.5,14,0.5,0.255893080349,232,192
us373247,3,424.666666667,2,0.666666666667,0.037118153543,1270,1157
us628762,1,1.0,0,0.0,0.0,1,1
us265070,1,1.0,0,0.0,0.0,1,1
us158442,1,1.0,0,0.0,0.0,1,1
us710957,1,33.0,0,0.0,0.0852272727273,33,33
us2067,1,120.0,0,0.0,0.0946778711485,120,120
us511629,1,216.0,0,0.0,0.0801894918174,216,216
us186019,2,36.5,1,1.0,0.0576786794573,71,70
us734868,16,90.8125,20,0.166666666667,0.0587672120317,1413,947
us249772,7,79.7142857143,5,0.238095238095,0.0698644879318,548,447
us54868,1,2.0,0,0.0,0.0,2,2
us731738,10,34.7,4,0.0888888888889,0.057334249075,339,271
us63813,1,3.0,0,0.0,0.333333333333,3,3
us720506,3,2.33333333333,2,0.666666666667,0.888888888889,3,1
us447281,1,3.0,0,0.0,0.0,3,3
us774806,1,2.0,0,0.0,0.0,2,2
us13253,1,1.0,0,0.0,0.0,1,1
us258924,3,39.0,2,0.666666666667,0.125825530905,113,101
us294530,1,25.0,0,0.0,0.0733333333333,25,25
us628166,3,5.66666666667,0,0.0,0.162962962963,17,15
us739679,1,239.0,0,0.0,0.0264758623115,239,239
us355,3,44.0,0,0.0,0.0812782831913,132,121
us590681,1,17.0,0,0.0,0.176470588235,17,17
us241211,2,504.5,0,0.0,0.0426681209597,1009,1002
us797779,1,2.0,0,0.0,0.0,2,2
us245956,1,131.0,0,0.0,0.0352319436289,131,131
us434735,1,373.0,0,0.0,0.034737236588,373,373
us755332,1,64.0,0,0.0,0.0138888888889,64,64
us191748,2,5.0,0,0.0,0.0972222222222,10,9
us360468,3,54.3333333333,0,0.0,0.052425266711,163,157
us764167,3,27.3333333333,3,1.0,0.186813186813,76,71
us518685,1,635.0,0,0.0,0.025504856057,635,635
us739755,1,65.0,0,0.0,0.0961538461538,65,65
us749707,4,30.75,1,0.166666666667,0.0412860525999,121,108
us504061,1,241.0,0,0.0,0.0606500691563,241,241
us191657,7,112.857142857,3,0.142857142857,0.057361889731,784,631
us680001,23,67.4782608696,35,0.138339920949,0.11188433185,1482,984
us323868,1,1.0,0,0.0,0.0,1,1
us306952,1,4.0,0,0.0,0.166666666667,4,4
us412355,4,296.0,3,0.5,0.0900362178613,1178,1069
us561609,1,1.0,0,0.0,0.0,1,1
us41989,1,157.0,0,0.0,0.0752898905765,157,157
us188200,3,60.0,0,0.0,0.0796717190516,180,171
us217473,74,84.972972973,374,0.138467234358,0.160621086785,5540,2784
us456668,13,64.3846153846,18,0.230769230769,0.207018743068,801,564
us612099,1,206.0,0,0.0,0.0599573762728,206,206
us349538,1,145.0,0,0.0,0.0538314176245,145,145
us137945,1,98.0,0,0.0,0.11319166842,98,98
us289569,635,40.0204724409,5134,0.025504856057,0.209978772214,15145,5699
us657860,9,56.6666666667,5,0.138888888889,0.193357289002,500,390
us197227,2,2.0,1,1.0,1.0,2,1
us456877,20,184.15,57,0.3,0.138094802513,3569,2191
us439079,1,14.0,0,0.0,0.120879120879,14,14
us7350,2,1.5,0,0.0,0.0,3,2
us665922,3,97.3333333333,1,0.333333333333,0.0922500664436,290,262
us1452,1,2.0,0,0.0,0.0,2,2
us588839,1,120.0,0,0.0,0.0946778711485,120,120
us310396,2,3.0,0,0.0,0.0,6,5
us205979,4,14.25,0,0.0,0.0288461538462,57,52
us347458,1,7.0,0,0.0,0.047619047619,7,7
